Unnamed: 0,sub,gender,SPSRWD,BISBAS_BAS,PC1,Win-Friend,Win-Stranger,Win-Comp,Lose-Friend,Lose-Stranger,Lose-Comp,screen_age,closeness_rating
0,1001,1,7.0,44.0,0.664463343,5,-2,5,5,0,4,,5.0
1,1002,2,15.0,35.0,-1.433882197,4,2,0,-3,-1,0,,5.0
6,1006,2,12.0,37.0,-1.725609291,3,2,5,-4,-1,-2,,5.0
7,1006,2,12.0,37.0,-1.725609291,3,2,5,-4,-1,-2,,5.0
8,1007,1,14.0,37.0,-0.485202941,4,4,3,0,0,0,21.23520675,5.0
10,1009,1,12.0,40.0,0.627714356,5,4,4,-5,-4,-4,20.2030158,6.0
11,1010,2,11.0,37.0,-2.345812467,1,-2,-5,2,-3,-5,22.21537745,6.0
12,1011,2,14.0,39.0,1.083679491,5,5,2,-5,-5,-5,21.97991745,5.0
13,1012,1,5.0,33.0,-9.204796383,3,0,0,-3,0,0,22.06479257,5.0
14,1013,1,16.0,41.0,3.892968274,5,-3,2,-4,1,-2,18.57955103,4.0
16,1015,1,9.0,35.0,-5.155101249,5,3,0,-5,-3,0,21.55291804,4.0
17,1016,1,15.0,40.0,2.488323882,0,0,0,0,0,0,22.13871606,3.0
20,1019,1,15.0,39.0,1.703882667,5,2,0,-3,0,0,18.23446067,3.0
22,1021,1,11.0,37.0,-2.345812467,1,1,0,1,0,0,21.19687605,2.0
27,1242,1,14.0,40.0,1.868120707,0,0,0,0,0,0,20.03326557,2.0
28,1243,1,11.0,35.0,-3.914694899,2,0,0,-2,-1,0,24.64104898,3.0
29,1244,1,15.0,48.0,8.76385361,5,3,0,-2,0,0,26.28105528,2.0
32,1248,2,14.0,39.0,1.083679491,1,0,-5,-3,-5,-5,23.52398292,5.0
33,1249,1,13.0,40.0,1.247917532,5,5,4,-5,-5,-4,19.35962637,7.0
35,1251,2,8.0,24.91666667,-13.68508668,2,0,1,0,0,-2,21.88409071,5.0
37,1255,1,11.0,38.0,-1.561371251,5,0,-1,-5,0,-2,19.87172906,4.0
42,1276,1,10.0,36.0,-3.750456858,3,-4,2,-4,0,-2,21.00522256,2.0
44,1282,1,16.0,41.0,3.892968274,5,3,1,-4,-2,0,20.32610754,5.0
45,1286,1,12.0,38.0,-0.941168076,4,2,3,-3,-2,-3,22.68344547,5.0
46,1294,1,9.0,37.0,-3.586218818,5,0,0,-2,0,0,21.71160257,5.0
48,1300,1,9.0,33.0,-6.723983681,3,5,0,-1,0,0,20.38634149,6.0
49,1301,1,8.0,38.0,-3.421980777,-1,-2,3,-3,0,0,23.44458362,4.0
50,1302,1,20.0,47.0,11.08042827,5,0,-5,-2,-3,-5,23.02032211,4.0
53,3116,1,12.0,41.0,1.412155572,5,1,0,-4,-1,0,20.1236165,4.0
54,3122,1,16.0,40.0,3.108527058,4,3,0,-5,-4,-1,20.84094814,7.0
55,3125,2,18.0,44.0,7.486698272,5,0,-5,-5,0,0,21.76636071,7.0
60,3140,1,11.0,37.0,-2.345812467,5,2,-1,-2,0,-1,23.07781816,7.0
61,3143,1,13.0,37.0,-1.105406116,4,-2,3,-5,-2,-2,20.95867814,6.0
64,3152,1,16.0,42.0,4.67740949,5,2,3,-5,-1,-3,22.57392919,6.0
66,3164,2,20.0,51.0,14.21819313,5,0,-2,-4,-5,-2,20.75595894,6.0
67,3166,1,7.0,36.0,-5.611066384,4,1,0,-5,-3,-1,21.47876639,4.0
68,3167,1,9.0,37.0,-3.586218818,5,3,2,-2,-5,-3,21.83743221,4.0
69,3170,1,9.0,32.0,-7.508424897,5,4,3,-5,0,0,19.78126405,7.0
70,3173,2,14.0,43.0,4.221444355,5,-2,-4,-5,0,0,18.48349612,3.0
72,3176,1,8.347826087,36.0,-4.775140365,5,3,2,-1,-2,-3,19.32140975,6.0
75,3186,1,21.0,49.0,13.26951388,4,0,-2,-3,-1,4,18.5519438,5.0
77,3189,2,12.0,37.0,-1.725609291,3,2,1,-4,-2,-1,23.43922189,4.0
78,3190,1,14.0,43.0,4.221444355,5,-1,4,2,-2,2,19.71829218,4.0
80,3199,1,12.0,40.0,0.627714356,-1,0,-1,0,0,0,20.07159627,
81,3200,2,8.0,35.0,-5.775304425,5,3,1,-2,0,-3,18.21529532,5.0
85,3206,2,12.0,36.0,-2.510050507,2,-3,1,-4,-2,0,19.25296207,
86,3210,2,14.0,41.0,2.652561923,4,-5,-5,-5,-5,-5,18.18517834,3.0
87,3212,1,7.0,36.0,-5.611066384,3,0,-2,-5,0,0,19.12154254,7.0
88,3218,2,13.0,37.0,-1.105406116,5,5,5,-5,-5,-5,,
