ID,SPSRWD,BISBAS_BAS,PCA,z-transformed avg
1001,7,44,0.883377774,-0.259692629
1002,14,34,-3.052701625,-0.473098101
1003,6,45,1.099819015,-0.297882843
1004,14,39,0.982282904,0.32813019
1006,12,37,-1.812822238,-0.389232872
1007,14,37,-0.631710907,0.007638874
1009,12,40,0.608168479,0.091504103
1010,11,37,-2.403377904,-0.587668745
1011,14,39,0.982282904,0.32813019
1012,5,33,-9.17469952,-2.419266615
1013,16,41,3.777388047,1.045493252
1015,9,35,-5.198483047,-1.305031807
1016,15,40,2.379835475,0.686811721
1018,20,45,9.367598332,2.480219376
1019,15,39,1.57283857,0.526566063
1021,11,37,-2.403377904,-0.587668745
1240,17,49,10.82391896,2.525894391
1242,14,40,1.78927981,0.488375848
1243,11,35,-4.017371715,-0.908160061
1244,15,48,8.835810722,1.968776987
1245,9,36,-4.391486141,-1.144786149
1247,14,41,2.596276716,0.648621506
1248,14,39,0.982282904,0.32813019
1249,13,40,1.198724144,0.289939975
1251,8,24.92,-13.92356752,-3.118743914
1253,16,40,2.970391141,0.885247594
1255,11,38,-1.596380998,-0.427423087
1276,10,36,-3.800930475,-0.946350276
1282,16,41,3.777388047,1.045493252
1286,12,38,-1.005825333,-0.228987214
1294,9,37,-3.584489235,-0.98454049
1300,9,33,-6.812476858,-1.625523123
1301,8,38,-3.368047995,-1.022730705
1302,20,47,10.98159214,2.800710693
1303,13,37,-1.222266573,-0.190796999
3101,12,38,-1.005825333,-0.228987214
3116,12,41,1.415165385,0.251749761
3122,16,40,2.970391141,0.885247594
3125,18,44,7.379490095,1.923101972
3140,11,37,-2.403377904,-0.587668745
3143,13,37,-1.222266573,-0.190796999
3146,12,41,1.415165385,0.251749761
3152,16,42,4.584384953,1.20573891
3164,20,51,14.20957977,3.441693326
3166,7,36,-5.572597472,-1.541657894
3167,9,37,-3.584489235,-0.98454049
3170,9,32,-7.619473764,-1.785768782
3173,14,43,4.210270527,0.969112823
3175,8,34,-6.596035618,-1.663713338
3176,8.35,36,-4.775347323,-1.273769466
3178,9,38,-2.777492329,-0.824294832
3186,21,49,13.18614162,3.319637882
3189,12,37,-1.812822238,-0.389232872
3190,14,43,4.210270527,0.969112823
3199,12,40,0.608168479,0.091504103
3200,8,35,-5.789038712,-1.50346768
3206,12,36,-2.619819144,-0.54947853
3210,14,41,2.596276716,0.648621506
3212,7,36,-5.572597472,-1.541657894
3218,13,37,-1.222266573,-0.190796999
3220,13,39,0.391727239,0.129694317
3223,12,37,-1.812822238,-0.389232872
