Trial,Endowment,Earned,Choice,Offer,Prop_Endowment
1,23,0,0,1,0.0434782608695652
8,21,0,0,7,0.333333333333333
13,21,0,0,4,0.19047619047619
14,23,0,0,1,0.0434782608695652
22,21,0,0,1,0.0476190476190476
23,15,0,0,5,0.333333333333333
30,15,0,0,3,0.2
31,17,0,0,1,0.0588235294117647
33,15,0,0,1,0.0666666666666667
11,21,0,0,4,0.19047619047619
13,21,0,0,9,0.428571428571429
21,17,0,0,1,0.0588235294117647
29,21,0,0,1,0.0476190476190476
30,23,0,0,4,0.173913043478261
32,21,0,0,4,0.19047619047619
34,21,0,0,1,0.0476190476190476
