Trial,Endowment,Choice,Decision,More_Prop,Less_Prop
2,25,2,0,0.44,0.08
5,21,9,1,0.428571428571429,0.19047619047619
8,23,7,0,0.434782608695652,0.304347826086957
9,23,1,0,0.434782608695652,0.0434782608695652
11,17,3,0,0.470588235294118,0.176470588235294
17,19,9,1,0.473684210526316,0.315789473684211
18,19,1,0,0.315789473684211,0.0526315789473684
21,21,7,1,0.333333333333333,0.19047619047619
25,19,9,1,0.473684210526316,0.0526315789473684
30,17,3,0,0.294117647058824,0.176470588235294
32,23,4,0,0.434782608695652,0.173913043478261
34,17,8,1,0.470588235294118,0.294117647058824
